"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.526415254E2,6.079585661E1,2.573642004E1,8.398565011E1,2.359999895E0,1.636999969E2,3.790092468E0,2.500000000E0
1.536416378E2,6.079583680E1,2.573643195E1,8.436003839E1,2.400000095E0,1.648999939E2,3.790092468E0,2.500000000E0
1.546411570E2,6.079581728E1,2.573644090E1,8.412297043E1,2.289999962E0,1.696999969E2,3.790092468E0,2.500000000E0
1.556416448E2,6.079579817E1,2.573644913E1,8.414743601E1,2.299999952E0,1.666999969E2,3.790092468E0,2.500000000E0
1.566409884E2,6.079577937E1,2.573645786E1,8.401058600E1,2.289999962E0,1.676999969E2,3.790092468E0,2.500000000E0
1.576411396E2,6.079576046E1,2.573646509E1,8.379206839E1,2.259999990E0,1.713000031E2,3.790092468E0,2.500000000E0
1.586413313E2,6.079574161E1,2.573646641E1,8.362285612E1,2.359999895E0,1.756999969E2,3.790092468E0,2.500000000E0
1.596414057E2,6.079572247E1,2.573646739E1,8.335208127E1,2.319999933E0,1.758999939E2,3.790092468E0,2.500000000E0
1.606413327E2,6.079570339E1,2.573646772E1,8.365350968E1,2.329999924E0,1.778000031E2,3.790092468E0,2.500000000E0
1.616416353E2,6.079568369E1,2.573646554E1,8.372879937E1,2.329999924E0,1.813000031E2,3.790092468E0,2.500000000E0
1.626411977E2,6.079566421E1,2.573646295E1,8.364875341E1,2.269999981E0,1.801000061E2,3.790092468E0,2.500000000E0
1.636412783E2,6.079564415E1,2.573646113E1,8.395628322E1,2.390000105E0,1.786000061E2,3.790092468E0,2.500000000E0
1.646412293E2,6.079562392E1,2.573645995E1,8.389949569E1,2.349999905E0,1.793000031E2,3.790092468E0,2.500000000E0
1.656416277E2,6.079560360E1,2.573645561E1,8.372130354E1,2.430000067E0,1.831999969E2,3.790092468E0,2.500000000E0
1.666409915E2,6.079558437E1,2.573644919E1,8.382661378E1,2.390000105E0,1.835000000E2,3.790092468E0,2.500000000E0
1.676418506E2,6.079556450E1,2.573644130E1,8.354367787E1,2.400000095E0,1.861000061E2,3.790092468E0,2.500000000E0
1.686415046E2,6.079554529E1,2.573643256E1,8.327789002E1,2.369999886E0,1.856999969E2,3.790092468E0,2.500000000E0
1.696418086E2,6.079552553E1,2.573642513E1,8.310097282E1,2.430000067E0,1.835000000E2,3.790092468E0,2.500000000E0
1.706416410E2,6.079550518E1,2.573641679E1,8.318748279E1,2.400000095E0,1.878999939E2,3.790092468E0,2.500000000E0
1.716416215E2,6.079548489E1,2.573640826E1,8.346484923E1,2.319999933E0,1.890000000E2,3.790092468E0,2.500000000E0
1.726416360E2,6.079546466E1,2.573639945E1,8.348605048E1,2.410000086E0,1.898000031E2,3.790092468E0,2.500000000E0
1.736414384E2,6.079544352E1,2.573639233E1,8.366521558E1,2.380000114E0,1.885000000E2,3.790092468E0,2.500000000E0
1.746411227E2,6.079542386E1,2.573638554E1,8.379933453E1,2.289999962E0,1.881000061E2,3.790092468E0,2.500000000E0
1.756417382E2,6.079540338E1,2.573637917E1,8.396256959E1,2.380000114E0,1.893999939E2,3.790092468E0,2.500000000E0
1.766409821E2,6.079538226E1,2.573637332E1,8.347065546E1,2.319999933E0,1.873999939E2,3.790092468E0,2.500000000E0
1.776412738E2,6.079536100E1,2.573636772E1,8.353031677E1,2.380000114E0,1.863999939E2,3.790092468E0,2.500000000E0
1.786413348E2,6.079534009E1,2.573636260E1,8.340266140E1,2.299999952E0,1.871999969E2,3.790092468E0,2.500000000E0
1.796414710E2,6.079532077E1,2.573635984E1,8.344059578E1,2.069999933E0,1.826999969E2,3.790092468E0,2.500000000E0
1.806414434E2,6.079530708E1,2.573635340E1,8.335955513E1,1.490000010E0,1.925000000E2,3.790092468E0,2.500000000E0
