"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.279308497E0,1.142344832E0,-1.437581301E0,4.594123840E0
1.284308497E0,1.077379704E0,-8.074449897E-1,3.768795967E0
1.289308497E0,1.020013809E0,-2.581030130E-1,2.815974236E0
1.294308497E0,9.229879379E-1,2.191538811E-1,1.859108925E0
1.299308497E0,7.672184110E-1,6.565208435E-1,9.813671112E-1
1.304308497E0,5.891561508E-1,1.132137060E0,9.268093109E-2
1.309308497E0,4.994605780E-1,1.566201687E0,-8.553085327E-1
1.314308497E0,5.218243599E-1,1.925762653E0,-1.705184937E0
1.319308497E0,6.305814981E-1,2.162838936E0,-2.402875900E0
1.324308497E0,6.741338968E-1,2.345998287E0,-2.818293095E0
1.329308497E0,6.540629864E-1,2.440935612E0,-2.956450939E0
1.334308497E0,5.385813713E-1,2.395820141E0,-2.835626602E0
1.339308497E0,3.743610382E-1,2.179989338E0,-2.516291142E0
1.344308497E0,1.169197559E-1,1.867296219E0,-2.133574486E0
1.349308497E0,-1.633615494E-1,1.459127188E0,-1.688489914E0
1.354308497E0,-4.700598717E-1,1.000455618E0,-1.159555435E0
1.359308497E0,-7.170319557E-1,4.562439919E-1,-4.791936874E-1
1.364308497E0,-9.070227146E-1,-1.102225780E-1,2.825651169E-1
1.369308497E0,-9.848668575E-1,-6.460804939E-1,9.562234879E-1
1.374308497E0,-9.560623169E-1,-1.104893327E0,1.447154045E0
1.379308497E0,-8.595020771E-1,-1.450249672E0,1.799985886E0
1.384308497E0,-6.626796722E-1,-1.721499801E0,2.032919884E0
1.389308497E0,-4.460897446E-1,-1.816840887E0,2.086432457E0
1.394308497E0,-2.290821075E-1,-1.707201362E0,1.888561249E0
1.399308497E0,-6.120610237E-2,-1.480295539E0,1.478945732E0
1.404308497E0,8.354187012E-2,-1.217552662E0,8.990268707E-1
1.409308497E0,2.119953632E-1,-9.415130615E-1,1.846532822E-1
1.414308497E0,3.569855690E-1,-6.284149885E-1,-6.166124344E-1
1.419308497E0,5.382091999E-1,-3.244727850E-1,-1.429250717E0
1.424308497E0,6.810667515E-1,1.266217232E-2,-2.229908943E0
1.429308497E0,7.797529697E-1,3.288011551E-1,-2.941709042E0
1.434308497E0,8.326613903E-1,6.140499115E-1,-3.533176899E0
1.439308497E0,8.981046677E-1,8.362751007E-1,-3.973922729E0
1.444308497E0,1.003196001E0,9.339091778E-1,-4.259311199E0
1.449308497E0,1.123898625E0,9.447445869E-1,-4.451508045E0
1.454308497E0,1.244935751E0,9.065499306E-1,-4.586332798E0
1.459308497E0,1.330910325E0,8.233406544E-1,-4.705173492E0
1.464308497E0,1.346177936E0,6.736547947E-1,-4.754560471E0
1.469308497E0,1.243799090E0,5.067853928E-1,-4.712614536E0
1.474308497E0,9.932913780E-1,3.269948959E-1,-4.433917046E0
1.479308497E0,6.416089535E-1,1.906411648E-1,-3.879271030E0
1.484308497E0,3.621168137E-1,1.433453560E-1,-3.378377438E0
1.489308497E0,2.376964092E-1,1.303107738E-1,-2.932440281E0
1.494308497E0,3.166995049E-1,1.687686443E-1,-2.424206257E0
1.499308497E0,4.781358242E-1,2.235126495E-1,-2.002439976E0
1.504308497E0,6.757004261E-1,3.075637817E-1,-1.771602154E0
1.509308497E0,8.699283600E-1,3.544495106E-1,-1.693240643E0
1.514308497E0,1.016320229E0,3.789200783E-1,-1.769225597E0
1.519308497E0,1.104809284E0,4.337306023E-1,-1.957218647E0
1.524308497E0,1.078834176E0,5.354771614E-1,-2.170666218E0
1.529308497E0,9.897034168E-1,6.179250479E-1,-2.344667912E0
1.534308497E0,8.461723328E-1,6.947191954E-1,-2.529903412E0
1.539308497E0,6.504874229E-1,7.334755659E-1,-2.683458328E0
1.544308497E0,4.292376041E-1,7.337820530E-1,-2.841737270E0
1.549308497E0,1.901762486E-1,7.084416151E-1,-2.969347000E0
1.554308497E0,-1.392555237E-2,6.332706213E-1,-3.008863449E0
1.559308497E0,-2.130658627E-1,5.405822992E-1,-2.950737000E0
1.564308497E0,-4.456076622E-1,4.352685213E-1,-2.825139046E0
1.569308497E0,-6.249034405E-1,3.268198967E-1,-2.672828197E0
1.574308497E0,-7.773778439E-1,2.112541199E-1,-2.509129047E0
1.579308497E0,-8.826441765E-1,1.232769489E-1,-2.250542164E0
1.584308497E0,-9.237413406E-1,1.077637672E-1,-1.853845119E0
1.589308497E0,-8.337974548E-1,1.476103067E-1,-1.365928650E0
1.594308497E0,-6.846625805E-1,2.277818918E-1,-8.034934998E-1
1.599308497E0,-4.512655735E-1,4.026513100E-1,-2.160892487E-1
1.604308497E0,-2.009632587E-1,5.910180807E-1,3.999404907E-1
